dataset,model,overlap,run,old_auc,new_auc,old_ap,new_ap
congress-bills,tcen,0.5,3,0.843048936,0.891982622,0.757883678,0.815306447
congress-bills,tcen,0.5,4,0.850697326,0.899975406,0.764037783,0.826865757
congress-bills,tcen,0.67,1,0.783937743,0.82738954,0.705894051,0.753781344
congress-bills,tcen,0.67,2,0.806840311,0.858217483,0.7100403,0.762797819
congress-bills,tcen,0.67,3,0.805934372,0.853745031,0.723570802,0.773313815
congress-bills,tcen,0.67,4,0.792477609,0.841082015,0.706543217,0.758057532
congress-bills,tcen,0.75,1,0.740308058,0.76579168,0.680616777,0.710528991
congress-bills,tcen,0.75,2,0.761297339,0.800107106,0.680525694,0.721266323
congress-bills,tcen,0.75,3,0.78337775,0.829217843,0.699119622,0.743138494
congress-bills,tcen,0.75,4,0.751250449,0.786419711,0.684180649,0.727413216
congress-bills,tcen,0.99,1,0.687617475,0.665232397,0.643370286,0.634182159
congress-bills,tcen,0.99,2,0.665221386,0.652189059,0.624068833,0.618987082
congress-bills,tcen,0.99,3,0.669028717,0.659338459,0.623780856,0.621016378
congress-bills,tcen,0.99,4,0.672244366,0.659139314,0.633253547,0.631949119
tags-stack-overflow,thgn,0,1,0.997377614,0.997573087,0.997550878,0.997684828
tags-stack-overflow,thgn,0,2,0.9746775,0.99486583,0.969015023,0.994536085
tags-stack-overflow,thgn,0,3,0.99746447,0.997875663,0.997603471,0.997940377
tags-stack-overflow,thgn,0.25,1,0.994798826,0.995011977,0.995302344,0.995410299
tags-stack-overflow,thgn,0.25,2,0.993528485,0.995369726,0.994012672,0.995569517
tags-stack-overflow,thgn,0.25,3,0.993295303,0.99216985,0.993841012,0.992769847
tags-stack-overflow,thgn,0.34,1,0.988892879,0.987763041,0.989532194,0.988163139
tags-stack-overflow,thgn,0.34,2,0.989788674,0.989437504,0.990253402,0.989889493
tags-stack-overflow,thgn,0.34,3,0.963956061,0.973772507,0.961081097,0.971274878
tags-stack-overflow,thgn,0.5,1,0.961105909,0.957252921,0.962508912,0.956803701
tags-stack-overflow,thgn,0.5,2,0.967682955,0.970178665,0.969784779,0.97167734
tags-stack-overflow,thgn,0.5,3,0.96577447,0.968687658,0.967518026,0.969448505
tags-stack-overflow,thgn,0.67,1,0.937057235,0.934623457,0.940136078,0.937843698
tags-stack-overflow,thgn,0.67,2,0.938362727,0.938635041,0.940641658,0.940565366
tags-stack-overflow,thgn,0.67,3,0.932006856,0.927497259,0.931613714,0.926439047
tags-stack-overflow,thgn,0.75,1,0.918825492,0.909897309,0.922179157,0.913109196
tags-stack-overflow,thgn,0.75,2,0.920539659,0.911673184,0.92361904,0.914711925
tags-stack-overflow,thgn,0.75,3,0.928486477,0.923844185,0.932146646,0.92603671
tags-stack-overflow,thgn,0.99,1,0.917886136,0.901546157,0.922478095,0.904925656
tags-stack-overflow,thgn,0.99,2,0.921353295,0.910903316,0.924668299,0.914205061
tags-stack-overflow,thgn,0.99,3,0.904199356,0.892588763,0.907149311,0.896538953
tags-stack-overflow,tcen,0,1,0.976160005,0.980206478,0.977305551,0.98234977
tags-stack-overflow,tcen,0,2,0.973201795,0.978391384,0.975789788,0.980686342
tags-stack-overflow,tcen,0,3,0.977309153,0.980693052,0.97975835,0.982706147
tags-stack-overflow,tcen,0.25,1,0.974080376,0.975651896,0.976545454,0.978005956
tags-stack-overflow,tcen,0.25,2,0.970606353,0.970663757,0.974205285,0.974431405
tags-stack-overflow,tcen,0.25,3,0.970714989,0.976219891,0.973745723,0.978850596
tags-stack-overflow,tcen,0.34,1,0.939618528,0.948518912,0.948789631,0.955959533
tags-stack-overflow,tcen,0.34,2,0.966294038,0.969532945,0.969908986,0.972556232
tags-stack-overflow,tcen,0.34,3,0.96131194,0.967748884,0.961007977,0.968232425
tags-stack-overflow,tcen,0.5,1,0.928172189,0.935686212,0.921118177,0.932764065
tags-stack-overflow,tcen,0.5,2,0.945459844,0.953331417,0.941295475,0.950201021
tags-stack-overflow,tcen,0.5,3,0.93834143,0.94716503,0.931044376,0.942861053
tags-stack-overflow,tcen,0.67,1,0.91607891,0.922591045,0.914434114,0.92065653
tags-stack-overflow,tcen,0.67,2,0.907534073,0.914330188,0.906106735,0.9134566
tags-stack-overflow,tcen,0.67,3,0.891488056,0.897773271,0.896501439,0.903007815
tags-stack-overflow,tcen,0.75,1,0.90233056,0.905252863,0.899900603,0.903903622
tags-stack-overflow,tcen,0.75,2,0.897658592,0.896109248,0.894693091,0.89654022
tags-stack-overflow,tcen,0.75,3,0.883606847,0.876424165,0.881300366,0.877402586
tags-stack-overflow,tcen,0.99,1,0.882368498,0.877365078,0.881203581,0.881256008
tags-stack-overflow,tcen,0.99,2,0.880440273,0.876132729,0.877117137,0.875038035
tags-stack-overflow,tcen,0.99,3,0.88369324,0.880140134,0.879802574,0.880463845
